cohort,group,metric,value
ext,routing,mean_routing_regret,0.025626098612739002
ext,routing,oracle_match_rate,0.7
ext,routing,reputation_brier,0.17196246318328556
ext,routing,reputation_ece,0.29249884730653963
ext,routing,reputation_auroc,0.5651041666666666
ext,routing,confidence_brier,0.09876232979437892
ext,routing,confidence_ece,0.1419204351691802
ext,routing,confidence_auroc,0.4322916666666667
ext,structure,rewiring_events,8
ext,structure,mean_edges,72.75
ext,structure,mean_degree,3.1664075286415714
ext,structure,mean_modularity,0.7959430752784482
ext,structure,mean_path_length,1.6760555793302498
ext,structure,mean_degree_entropy,4.76794872802235
ext,structure,edge_churn_rate,0.2920962199312715
ext,structure,sovereignty_transfers,9
ext,structure,sovereignty_transfer_rate,1.125
ext,structure,mean_competence_gain_on_transfer,0.5328929349517585
ext,safety,blinding_checks,48
ext,safety,blinding_leaks,0
ext,safety,blinding_leak_rate,0.0
ext,safety,anchor_opportunities,13
ext,safety,anchoring_index,0.0
ext,safety,branch_isolation_purity,1.0
ext,safety,safe_termination,True
