gene,log2FC,p_perm,FDR
MTND1P23,-0.8777155021380967,0.13385826771653545,0.9923966216285223
MTND2P28,-0.5796690958837525,0.3464566929133858,0.9923966216285223
MTCO1P12,-0.5323856875769302,0.10236220472440945,0.9923966216285223
MTCO2P12,-0.6165740344897044,0.07874015748031496,0.9923966216285223
MTATP6P1,-0.07805953457852333,0.7480314960629921,1.0
MTCO3P12,-1.4536064548247714,0.015748031496062992,0.9923966216285223
AL669831.5,-2.2615884225544387,0.015748031496062992,0.9923966216285223
AL669831.4,-1.2465843143773796,0.25196850393700787,0.9923966216285223
LINC01128,-0.6049546352084674,0.84251968503937,1.0
NOC2L,1.0861987649938494,0.2440944881889764,0.9923966216285223
KLHL17,-0.12031803920976447,0.9291338582677166,1.0
ISG15,-1.1259872877895285,0.4645669291338583,1.0
AL390719.1,0.5602075223090557,0.6062992125984252,1.0
C1orf159,-0.02042514193022904,1.0,1.0
TNFRSF18,0.21479433162323658,0.9133858267716536,1.0
TNFRSF4,0.013993962071773502,1.0,1.0
SDF4,0.28820072541354147,0.7795275590551181,1.0
B3GALT6,0.07798743739044056,0.8346456692913385,1.0
UBE2J2,0.25835249017936857,0.6456692913385826,1.0
ACAP3,0.46946066040877765,0.7007874015748031,1.0
INTS11,0.007418995597619826,0.9921259842519685,1.0
AL139287.1,1.1481316628884835,0.29133858267716534,0.9923966216285223
CPTP,0.8736646939766688,0.2204724409448819,0.9923966216285223
DVL1,-0.19027832151006052,0.8346456692913385,1.0
AURKAIP1,-0.6479991333018935,0.7874015748031497,1.0
CCNL2,-0.15584246740896912,0.5511811023622047,1.0
AL391244.1,0.834146980779073,0.41732283464566927,1.0
MRPL20,0.18919253585596874,0.7637795275590551,1.0
ATAD3B,0.3881209958006189,0.7637795275590551,1.0
ATAD3A,0.39226239800495266,0.7874015748031497,1.0
SSU72,0.04999326989178954,0.49606299212598426,1.0
AL691432.2,-0.2120546730136288,0.7952755905511811,1.0
MIB2,0.6590489273818685,0.5905511811023622,1.0
CDK11B,-0.21635734636842763,0.7795275590551181,1.0
SLC35E2B,-0.5882443003834461,0.09448818897637795,0.9923966216285223
NADK,0.01324174717662574,0.968503937007874,1.0
GNB1,-0.07993587561103688,0.44881889763779526,1.0
FAAP20,-0.5261519462151467,0.7165354330708661,1.0
SKI,0.1867256472599017,0.6771653543307087,1.0
RER1,0.36158977276704984,0.18110236220472442,0.9923966216285223
PLCH2,-1.0383525942943936,0.2047244094488189,0.9923966216285223
PANK4,0.032041114023353856,0.937007874015748,1.0
AL139246.5,1.7078533150550212,0.06299212598425197,0.9923966216285223
TNFRSF14-AS1,-1.3206233731202643,0.18110236220472442,0.9923966216285223
TNFRSF14,-0.5766708452392626,0.5748031496062992,1.0
AL139246.3,-0.2988101634953215,0.7401574803149606,1.0
FAM213B,0.2474513551678057,0.7244094488188977,1.0
MEGF6,-0.8117045258587392,0.4330708661417323,1.0
TPRG1L,-0.6106204293972075,0.1732283464566929,0.9923966216285223
WRAP73,-0.6389428225269995,0.5196850393700787,1.0
TP73-AS1,-0.364759750327436,0.5748031496062992,1.0
LRRC47,0.2250637902604291,0.44881889763779526,1.0
CEP104,-0.028989535744250006,0.9448818897637795,1.0
DFFB,0.02571386236040496,0.968503937007874,1.0
C1orf174,-0.10019176197648871,0.7637795275590551,1.0
KCNAB2,-0.063337400247784,0.9212598425196851,1.0
RPL22,-0.7466835660272704,0.015748031496062992,0.9923966216285223
ICMT,-0.5184897964508677,0.3779527559055118,0.9979787009382448
GPR153,-0.2869422993193398,0.7322834645669292,1.0
ACOT7,-0.15222184391728266,0.6929133858267716,1.0
TNFRSF25,-0.18073438547798615,0.8503937007874016,1.0
NOL9,0.026595727062624697,0.968503937007874,1.0
ZBTB48,-0.3758527697914942,0.7165354330708661,1.0
KLHL21,-0.4722090339056706,0.4015748031496063,1.0
PHF13,-0.4266397144809191,0.18110236220472442,0.9923966216285223
THAP3,0.16919627630976342,0.7480314960629921,1.0
DNAJC11,-0.5282650153789334,0.5748031496062992,1.0
CAMTA1,0.29706459048255507,0.14960629921259844,0.9923966216285223
VAMP3,-0.05952263410574066,0.905511811023622,1.0
PER3,-1.2110153674164768,0.23622047244094488,0.9923966216285223
UTS2,0.45733590286428516,0.7480314960629921,1.0
TNFRSF9,0.5698447035947867,0.5511811023622047,1.0
PARK7,0.06001389561985615,0.8188976377952756,1.0
Y_RNA,-1.08204130550993,0.10236220472440945,0.9923966216285223
ERRFI1,-0.025078124205704988,1.0,1.0
RERE,-0.5360549876328289,0.16535433070866143,0.9923966216285223
