cell_type,singlecell_DEG,pseudobulk_perm_DEG
Fibroblast,1851,0
Dendritic cell,234,0
NK cell,226,0
Plasma cell,206,0
Neutrophil,111,0
T cell (CD8),99,0
B cell,61,0
T cell (CD4),58,0
Mast cell,40,0
Epithelial,11,0
