gene,log2FC,score,pval_adj,loso_robustness
IGKC,2.590606689453125,20.990966796875,2.2477015457815092e-93,1.0
FDCSP,3.27156662940979,17.538888931274414,1.0248571016631387e-64,1.0
ACTB,0.6425890922546387,15.007655143737793,6.179759811582347e-47,
RGS1,1.3150293827056885,13.812049865722656,1.018346431836576e-39,1.0
KLF6,1.2171580791473389,13.353610038757324,3.997400035881883e-37,0.6666666666666666
HLA-A,0.5789785981178284,13.055986404418945,1.8497337566949136e-35,
TMSB4X,0.3183109760284424,13.041487693786621,2.013680257307818e-35,
RAC2,0.962100088596344,13.03329849243164,2.0381502421028053e-35,
RPL37A,0.6443809270858765,12.780817985534668,4.955787765837231e-34,
UCP2,1.5424696207046509,12.25400161743164,3.4858470855819975e-31,1.0
CD74,1.1843239068984985,12.236191749572754,4.0314146859308e-31,0.4444444444444444
TIGIT,2.0215952396392822,11.198692321777344,7.329143863922897e-26,1.0
TBC1D4,1.5497905015945435,11.16883659362793,9.121149360776495e-26,0.8888888888888888
DUSP4,2.425152540206909,11.162664413452148,9.26269876318706e-26,
SOCS3,1.521581768989563,10.999967575073242,5.416590065364063e-25,
MAF,1.0393110513687134,10.278976440429688,1.1290921340008082e-21,
CD2,0.787051260471344,9.670103073120117,4.77005941128347e-19,
CTLA4,1.6458953619003296,9.41087818145752,5.1641028545267184e-18,
TPSB2,3.4904820919036865,9.324214935302734,1.131616924282034e-17,
TRAC,0.596977710723877,9.220942497253418,2.6922171348289297e-17,
TRBC2,0.6089980006217957,8.85228443145752,7.36346630564571e-16,
PFN1,0.5431955456733704,8.773893356323242,1.3640225104416702e-15,
ACTG1,0.5521330237388611,8.770554542541504,1.3640225104416702e-15,
IL2RG,0.7735085487365723,8.770363807678223,1.3640225104416702e-15,
STK17B,0.6856206059455872,8.742593765258789,1.6989880887711698e-15,
ICOS,1.0386359691619873,8.706729888916016,2.215884614720477e-15,
CTSB,1.3092317581176758,8.55457878112793,7.982115673639303e-15,
FAM107B,0.803318202495575,8.427556037902832,2.3261739154546096e-14,
ARID5B,1.4927971363067627,8.39139175415039,3.0942386742397223e-14,
IGHG3,1.7138384580612183,8.325713157653809,5.164010291304558e-14,
ARHGDIB,0.5695565342903137,8.236665725708008,1.0454492034552282e-13,
SPOCK2,0.6996538639068604,8.194220542907715,1.4587224558812908e-13,
ACTR3,0.7342118620872498,8.1517333984375,2.0332858657374078e-13,
TPM4,0.9712588787078857,8.092609405517578,3.2450825440691336e-13,
GPR183,0.7786931991577148,8.089598655700684,3.2623565378163373e-13,
MYL6,0.7673477530479431,8.065125465393066,3.911886153910398e-13,
YWHAB,0.6487078070640564,8.059906959533691,4.006961665128649e-13,
PTPRC,0.46111565828323364,8.035529136657715,4.800921224743284e-13,
ARL6IP5,0.7846280932426453,8.02588176727295,5.011481140173676e-13,
CDC42,0.6883974671363831,7.923017501831055,1.1134561538939331e-12,
IGHG1,2.209348440170288,7.914624214172363,1.1713522992277574e-12,
IGHG4,2.394911766052246,7.719128608703613,5.441442308038692e-12,
EZR,0.8037782907485962,7.693538665771484,6.541759679803658e-12,
MCL1,0.6442548632621765,7.678495407104492,7.240753027656263e-12,
PKM,1.0496644973754883,7.6296586990356445,1.0422357937610289e-11,
WNK1,0.8053034543991089,7.589243412017822,1.4029042696856829e-11,
SRGN,0.6012200117111206,7.466716766357422,3.5303763727956406e-11,
IL2RB,1.0695302486419678,7.41387414932251,5.111951495522733e-11,
LTB,0.8028863668441772,7.362353324890137,7.421357955319098e-11,
ACTR2,0.621289849281311,7.318844795227051,1.0125702335833499e-10,
COTL1,0.9762423038482666,7.268618583679199,1.4294738997527344e-10,
DDX5,0.5417224168777466,7.251803874969482,1.5965216149999973e-10,
VIM,0.525658369064331,7.226609230041504,1.8711405385277526e-10,
PPP1R18,0.8930125832557678,7.179598808288574,2.6070523549556043e-10,
SH3KBP1,0.7785793542861938,7.15588903427124,3.05959527721191e-10,
SELL,0.9206480383872986,6.960175514221191,1.174508626267451e-09,
RHOA,0.6546766757965088,6.8287506103515625,2.8898086229013e-09,
ITM2A,0.670573353767395,6.722698211669922,5.947525244829163e-09,
IKZF3,0.7615063786506653,6.714972019195557,6.198412184689568e-09,
PBXIP1,0.8041002154350281,6.711170196533203,6.288968745854354e-09,
TPP1,0.9339979290962219,6.679775238037109,7.7065557369627e-09,
RPS16,0.4343055486679077,6.673616409301758,7.868804986109416e-09,
PIM2,0.7307762503623962,6.61879825592041,1.1277397098328435e-08,
FAM46C,0.6776065826416016,6.6007161140441895,1.2468441563580903e-08,
SLFN5,0.709271252155304,6.552424907684326,1.7020199777820684e-08,
CD3D,0.6134697794914246,6.551252841949463,1.7020199777820684e-08,
BIRC3,0.6861511468887329,6.478039264678955,2.714763963811336e-08,
IQGAP1,0.6354657411575317,6.363674640655518,5.6962376186597644e-08,
ANXA2,1.0700900554656982,6.356698036193848,5.900720891080299e-08,
LIMS1,1.0317473411560059,6.278347015380859,9.601346190134748e-08,
RGCC,0.6114848256111145,6.227671146392822,1.3153165965857e-07,
CD44,0.523234486579895,6.069552421569824,3.429208332998534e-07,
ALOX5AP,0.7977543473243713,6.027719974517822,4.404163933879785e-07,
MYH9,0.5548381805419922,5.978447914123535,5.856914533942717e-07,
TNFRSF1B,0.9741693139076233,5.954397678375244,6.664305288717987e-07,
TPM3,0.49266517162323,5.874030113220215,1.0663023654736575e-06,
PTP4A2,0.5475730299949646,5.869206428527832,1.0790658073653434e-06,
SAT1,0.7309511303901672,5.833710193634033,1.3243178545439162e-06,
JAK3,0.980920135974884,5.7695441246032715,1.9089493666971244e-06,
RNF213,0.6761139631271362,5.752429485321045,2.0949395858178264e-06,
AKAP13,0.661738395690918,5.7231879234313965,2.468883838098278e-06,
SDCBP,0.8847103714942932,5.716170310974121,2.5517172068047834e-06,
TOX2,2.53354811668396,5.7006635665893555,2.772155422019182e-06,
NEAT1,0.7247835397720337,5.673533916473389,3.2228451536238555e-06,
VAMP8,0.7467188835144043,5.670645236968994,3.25123300817362e-06,
ARPC2,0.5108450651168823,5.6239752769470215,4.164099354410786e-06,
ATP5E,0.4415816068649292,5.592894077301025,4.905848253135319e-06,
CAPZB,0.5651428699493408,5.590182304382324,4.944748270920699e-06,
SEPT6,0.5910292863845825,5.520715713500977,7.248371924289194e-06,
SLC2A3,0.5054160356521606,5.514774799346924,7.441155841613409e-06,
LIMA1,1.7266484498977661,5.483911514282227,8.66888018787166e-06,
CBX3,0.5960793495178223,5.455827713012695,1.0083141809819822e-05,
RPLP1,0.48654940724372864,5.447052478790283,1.051650796296125e-05,
IFITM2,0.5340279340744019,5.37855339050293,1.5091350632313237e-05,
RHOG,0.7359048128128052,5.347785472869873,1.776912459600099e-05,
ZNF281,1.5640276670455933,5.303009986877441,2.241709206024996e-05,
PARP1,0.7324222922325134,5.279545307159424,2.5137224021151337e-05,
HLA-B,0.196610689163208,5.2436676025390625,3.0141904764624097e-05,
RNF19A,0.7974486947059631,5.230395793914795,3.217096052521631e-05,
CD7,1.1585183143615723,5.21205472946167,3.50503377541458e-05,
ENO1,0.7014468312263489,5.187582015991211,3.971971155855065e-05,
KIF5B,0.6381914615631104,5.142847061157227,4.9475432261129393e-05,
RHOH,0.6265406012535095,5.134753227233887,5.1321629783555986e-05,
CD4,0.5635601878166199,5.125855445861816,5.346321889677103e-05,
PHACTR2,0.8034273386001587,5.092361927032471,6.342731252657268e-05,
ARPC3,0.7489450573921204,5.079880714416504,6.73135543128601e-05,
ARID4B,0.5341250896453857,5.071841239929199,6.978219710155179e-05,
ATP6V0E1,0.5314271450042725,5.062697887420654,7.275988234855761e-05,
MYL12B,0.5148504972457886,5.03190279006958,8.443212489700919e-05,
B2M,0.12808531522750854,5.024408340454102,8.726118108893004e-05,
RAD21,0.4973951578140259,5.008152008056641,9.438620045601949e-05,
RAP1A,0.561165452003479,4.995997428894043,9.992468606089711e-05,
TAGLN2,0.4959510564804077,4.9845380783081055,0.00010539744249079313,
NDUFA1,0.5650410056114197,4.9794416427612305,0.00010756667808047391,
SYNE2,0.5037140846252441,4.963158130645752,0.00011561642466297418,
XRCC5,0.5178518891334534,4.961114406585693,0.00011615655899823102,
SESN3,1.0246829986572266,4.907794952392578,0.0001516029596527552,
SEPT7,0.4839465320110321,4.906854629516602,0.0001516029596527552,
FKBP1A,0.763231098651886,4.897425651550293,0.00015784226978619861,
HNRNPA2B1,0.3670148551464081,4.896676063537598,0.00015784226978619861,
HCLS1,0.5175670981407166,4.888786315917969,0.00016244405768482245,
SNRPD2,0.5157015919685364,4.8651041984558105,0.00018212833562886947,
IFI16,0.571782648563385,4.86056661605835,0.0001853121451119624,
GOLGA7,0.6898226737976074,4.838001728057861,0.0002064828377934032,
CD5,0.7308272123336792,4.833313941955566,0.00020994438317325546,
RPL23,0.2063247412443161,4.832496643066406,0.00020994438317325546,
ZBTB38,0.6915445923805237,4.8157501220703125,0.00022709613784362988,
ATP1B3,0.9599863290786743,4.7970685958862305,0.000247973358502509,
S100A11,0.6895386576652527,4.789682865142822,0.00025451009622647026,
MBNL1,0.4271523356437683,4.766845703125,0.00028208266669225784,
IL6R,0.7049073576927185,4.760754585266113,0.00028919348654932165,
LCK,0.6254544258117676,4.754186630249023,0.00029718189158033884,
ARF6,0.44996485114097595,4.747196674346924,0.0003060249634220918,
